ID,TIME,popPred_medianCOV,popPred,indivPred_mean,indivPred_mode
1,20.0336096183936,4.67417,4.67417,4.90925,5.14304
1,20.10638298,4.66409,4.66409,4.90126,5.1349
1,20.1741718674096,4.6547,4.6547,4.89382,5.12733
1,20.3147341164257,4.63523,4.63523,4.87839,5.11162
1,20.4552963654418,4.61577,4.61577,4.86296,5.09592
1,20.5958586144578,4.5963,4.5963,4.84753,5.08021
1,20.7364208634739,4.57683,4.57683,4.8321,5.0645
1,20.87698311249,4.55736,4.55736,4.81667,5.0488
1,20.93380615,4.54949,4.54949,4.81043,5.04245
1,21.01654846,4.53803,4.53803,4.80135,5.0332
1,21.017545361506,4.5379,4.5379,4.80124,5.03309
1,21.09929078,4.52657,4.52657,4.79227,5.02395
1,21.1581076105221,4.51843,4.51843,4.78581,5.01738
1,21.2986698595381,4.49896,4.49896,4.77038,5.00167
1,21.4392321085542,4.47949,4.47949,4.75495,4.98597
1,21.5797943575703,4.46003,4.46003,4.73952,4.97026
1,21.7203566065863,4.44056,4.44056,4.7241,4.95455
1,21.8609188556024,4.42109,4.42109,4.70867,4.93885
1,22.0014811046185,4.40162,4.40162,4.69324,4.92314
1,22.00945626,4.40052,4.40052,4.69236,4.92225
1,22.09219858,4.38906,4.38906,4.68328,4.913
1,22.1420433536345,4.38216,4.38216,4.67781,4.90743
1,22.2826056026506,4.36269,4.36269,4.66238,4.89173
1,22.4231678516667,4.34322,4.34322,4.64695,4.87602
1,22.5637301006827,4.32376,4.32376,4.63152,4.86031
1,22.7042923496988,4.30429,4.30429,4.61609,4.84461
1,22.8448545987149,4.28482,4.28482,4.60066,4.8289
1,22.9854168477309,4.26535,4.26535,4.58523,4.81319
1,23.00236407,4.26301,4.26301,4.58337,4.8113
1,23.08510638,4.25155,4.25155,4.57429,4.80206
1,23.125979096747,4.24589,4.24589,4.5698,4.79749
1,23.266541345763,4.22642,4.22642,4.55437,4.78178
1,23.4071035947791,4.20695,4.20695,4.53894,4.76607
1,23.5476658437952,4.18749,4.18749,4.52352,4.75037
1,23.6882280928112,4.16802,4.16802,4.50809,4.73466
1,23.8287903418273,4.14855,4.14855,4.49266,4.71896
1,23.9693525908434,4.12909,4.12909,4.47723,4.70325
1,23.99527187,4.1255,4.1255,4.47438,4.70035
1,24.07801418,4.11404,4.11404,4.4653,4.69111
1,24.1099148398594,4.10962,4.10962,4.4618,4.68754
1,24.2504770888755,4.09015,4.09015,4.44637,4.67184
1,24.3910393378916,4.07069,4.07069,4.43094,4.65613
1,24.5316015869076,4.05122,4.05122,4.41551,4.64042
1,24.6721638359237,4.03175,4.03175,4.40008,4.62472
1,24.8127260849398,4.01229,4.01229,4.38465,4.60901
1,24.9532883339558,3.99282,3.99282,4.36922,4.5933
1,24.98817967,3.98799,3.98799,4.36539,4.5894
1,25.07092199,3.97653,3.97653,4.35631,4.58016
1,25.0938505829719,3.97335,3.97335,4.3538,4.5776
1,25.2344128319879,3.95389,3.95389,4.33837,4.56189
1,25.374975081004,3.93442,3.93442,4.32294,4.54618
1,25.5155373300201,3.91496,3.91496,4.30751,4.53048
1,25.6560995790361,3.89549,3.89549,4.29208,4.51477
1,25.7966618280522,3.87603,3.87603,4.27665,4.49906
1,25.9372240770683,3.85656,3.85656,4.26122,4.48336
1,26.06382979,3.83903,3.83903,4.24733,4.46921
1,26.0777863260843,3.83709,3.83709,4.24579,4.46765
1,26.2183485751004,3.81763,3.81763,4.23037,4.45195
1,26.3589108241165,3.79816,3.79816,4.21494,4.43624
1,26.4994730731325,3.7787,3.7787,4.19951,4.42053
1,26.6400353221486,3.75923,3.75923,4.18408,4.40483
1,26.7805975711647,3.73977,3.73977,4.16865,4.38912
1,26.9211598201807,3.72031,3.72031,4.15322,4.37341
1,26.97399527,3.71299,3.71299,4.14742,4.36751
1,27.05673759,3.70153,3.70153,4.13834,4.35826
1,27.0617220691968,3.70084,3.70084,4.13779,4.35771
1,27.2022843182128,3.68138,3.68138,4.12237,4.342
1,27.3428465672289,3.66191,3.66191,4.10694,4.3263
1,27.483408816245,3.64245,3.64245,4.09151,4.31059
1,27.623971065261,3.62299,3.62299,4.07608,4.29488
1,27.7645333142771,3.60352,3.60352,4.06065,4.27918
1,27.9050955632932,3.58406,3.58406,4.04522,4.26347
1,28.0456578123092,3.5646,3.5646,4.0298,4.24777
1,28.04964539,3.56404,3.56404,4.02936,4.24732
1,28.1862200613253,3.54513,3.54513,4.01437,4.23206
1,28.3267823103414,3.52567,3.52567,3.99894,4.21635
1,28.4673445593574,3.50621,3.50621,3.98351,4.20065
1,28.6079068083735,3.48675,3.48675,3.96808,4.18494
1,28.7484690573896,3.46728,3.46728,3.95266,4.16924
1,28.8890313064056,3.44782,3.44782,3.93723,4.15353
1,29.0295935554217,3.42836,3.42836,3.9218,4.13782
1,29.04255319,3.42657,3.42657,3.92038,4.13638
1,29.1701558044377,3.4089,3.4089,3.90637,4.12212
1,29.3107180534538,3.38944,3.38944,3.89094,4.10641
1,29.4512803024699,3.36998,3.36998,3.87552,4.09071
1,29.5918425514859,3.35052,3.35052,3.86009,4.075
1,29.732404800502,3.33106,3.33106,3.84466,4.0593
1,29.8729670495181,3.3116,3.3116,3.82923,4.04359
1,30.0135292985341,3.29214,3.29214,3.81381,4.02789
1,30.03546099,3.28911,3.28911,3.8114,4.02543
1,30.1540915475502,3.27269,3.27269,3.79838,4.01218
1,30.2946537965663,3.25323,3.25323,3.78295,3.99647
1,30.4352160455823,3.23377,3.23377,3.76753,3.98077
1,30.5757782945984,3.21432,3.21432,3.7521,3.96506
1,30.7163405436145,3.19486,3.19486,3.73667,3.94936
1,30.8569027926305,3.1754,3.1754,3.72124,3.93365
1,30.9974650416466,3.15595,3.15595,3.70582,3.91795
